data_center_id,project_stage,state_or_region,state_code,data_center_estimated_power_mw,data_center_selected_power_mw,sector,year
14c3ec08-1803-4368-ac7a-fbd879e635eb,Active,Michigan,MI,1.06,1.0,all_sectors,2025
c5fe22bd-0670-427c-ae03-5674b8e007ef,Active,Wisconsin,WI,0.6,0.5,all_sectors,2025
302036dd-074a-45de-92fb-15bc3540a4c7,Cancelled,Illinois,IL,34.63,24.0,all_sectors,2025
28ab55b6-0148-4b98-87ad-c0b4d8dd2a05,Active,New York,NY,23.16,24.0,all_sectors,2025
83b54f12-8ad5-4318-8fbc-0d87e46a07a7,Announcement,Pennsylvania,PA,47.7,72.0,all_sectors,2025
691cc6a7-fd17-4148-89ab-776a6f40e273,Active,Texas,TX,6.54,6.0,all_sectors,2025
18ae0d0f-6185-486c-9d33-77c155f34105,Active,Illinois,IL,1.51,1.0,all_sectors,2025
af48ab77-f0ea-4c39-a5f2-d5f913a2ecee,Active,Pennsylvania,PA,9.55,10.0,all_sectors,2025
dc213783-9242-4152-a4bf-46764dfc5687,Construction,Ohio,OH,42.96,100.0,all_sectors,2025
5f8b34d4-0ae0-40c3-b9c0-03ad25db79c9,Announcement,California,CA,67.42,99.0,all_sectors,2025
d60c1367-3801-4cf5-b4ba-992714428f47,Construction,Ohio,OH,32.5,96.0,all_sectors,2025
1caf3f25-38c7-4d1e-9e29-ac5fc05860d3,Construction,Maryland,MD,61.69,72.0,all_sectors,2025
83c7ee62-afb5-4d5f-bedf-b25ca38184fc,Land Bank,California,CA,39.81,39.81,all_sectors,2025
ecdeba1b-9e90-42a4-85c1-d34aff607d26,Active,Virginia,VA,35.0,35.0,all_sectors,2025
3542a6db-986b-4d40-93ac-862194e99e28,Announcement,Texas,TX,7.1,7.1,all_sectors,2025
77ac6a16-efd6-49b8-bbfc-7a1e32626833,Announcement,Virginia,VA,56.28,56.28,all_sectors,2025
06bd1449-2708-4d9c-87f4-bef5f684c439,Construction,Virginia,VA,39.2,70.0,all_sectors,2025
21356727-827e-4d88-8a15-772459ff323c,Announcement,Virginia,VA,66.0,66.0,all_sectors,2025
e0996f61-ef80-43e2-a3ae-330e1da689ae,Active,Ohio,OH,22.5,22.5,all_sectors,2025
5a7a7d22-3174-4c6a-8494-d7f1645f00c9,Construction,Arizona,AZ,57.8,57.8,all_sectors,2025
c3bfdc49-52e2-48c9-ad90-2953696e2976,Active,Ohio,OH,30.0,30.0,all_sectors,2025
89fb1047-b044-4111-b113-7f85e3d75178,Construction,Virginia,VA,60.0,60.0,all_sectors,2025
cdf85bb1-9175-4c31-b0f6-2375c071f5dc,Active,Ohio,OH,60.0,60.0,all_sectors,2025
c841dc89-be6b-464e-9591-8c61dac08cf0,Construction,Virginia,VA,22.7,22.7,all_sectors,2025
79b96a02-47a8-4029-a21e-4358f6ed9589,Construction,Georgia,GA,41.25,41.25,all_sectors,2025
c3b964b1-7bc3-4883-a908-94804d56b9e5,Active,Virginia,VA,25.0,25.0,all_sectors,2025
55e23001-ee1c-4b82-956d-6149c43617e3,Active,Indiana,IN,64.85,65.0,all_sectors,2025
3c73a072-1cf9-45e2-b271-73af2364d9ac,Not Approved/Withdrawn,Virginia,VA,67.0,67.0,all_sectors,2025
88854ca9-8834-44d1-9074-b975066da547,Active,Virginia,VA,17.5,17.5,all_sectors,2025
0426f94e-6b7f-49de-adff-f04211eba271,Active,Nevada,NV,54.56,54.56,all_sectors,2025
00371327-8827-4ad4-8197-b3b4fa7fe7c6,Active,Iowa,IA,29.87,29.87,all_sectors,2025
316e8bab-7c45-4e57-86c0-a91a286af7a7,Announcement,Iowa,IA,45.93,45.93,all_sectors,2025
a11eed04-a5f3-4bdd-8f37-075825956809,Delayed,Virginia,VA,36.78,60.0,all_sectors,2025
56b8d270-042c-41ef-b635-f5925f97d787,Announcement,California,CA,36.6,84.0,all_sectors,2025
db5541db-8139-4e8f-8564-0e592cf4ee49,Active,Florida,FL,10.6,12.0,all_sectors,2025
298cca0f-2671-4a1e-acd9-3ea4a35fe0c2,Active,Massachusetts,MA,16.86,15.0,all_sectors,2025
ddba782b-fe4d-4798-b37a-63b6f27c5135,Announcement,Illinois,IL,66.84,84.0,all_sectors,2025
8bb748c9-8fc6-4229-b206-37cc6ce8ff49,Active,Ohio,OH,33.65,50.0,all_sectors,2025
