state_or_region,sector,year,data_center_facility_count,data_center_estimated_power_mw,data_center_selected_power_mw
Virginia,all_sectors,2025,40,1812.73,2078.91
Arizona,all_sectors,2025,20,891.46,969.02
Illinois,all_sectors,2025,15,817.59,1009.36
Texas,all_sectors,2025,27,739.72,1700.27
Georgia,all_sectors,2025,11,607.11,881.32
Ohio,all_sectors,2025,12,441.51,649.97
California,all_sectors,2025,12,295.95,379.98
Indiana,all_sectors,2025,5,251.97,371.0
North Carolina,all_sectors,2025,4,251.95,272.49
Missouri,all_sectors,2025,3,246.29,212.0
Louisiana,all_sectors,2025,1,222.0,222.0
Pennsylvania,all_sectors,2025,7,216.7,222.849
Iowa,all_sectors,2025,4,158.09,158.09
South Carolina,all_sectors,2025,2,133.05,133.05
New Jersey,all_sectors,2025,3,114.83000000000001,47.0
Nevada,all_sectors,2025,3,103.76,166.56
Idaho,all_sectors,2025,1,100.0,100.0
Oregon,all_sectors,2025,2,96.89,102.5
Delaware,all_sectors,2025,2,74.67,80.0
Maryland,all_sectors,2025,1,61.69,72.0
Alabama,all_sectors,2025,3,49.58,57.96
Oklahoma,all_sectors,2025,1,48.84,48.84
Wyoming,all_sectors,2025,1,45.56,45.56
Colorado,all_sectors,2025,2,45.11,45.0
Utah,all_sectors,2025,3,42.12,508.12
New Mexico,all_sectors,2025,1,40.0,40.0
Nebraska,all_sectors,2025,1,40.0,40.0
Massachusetts,all_sectors,2025,4,32.49,29.0
Connecticut,all_sectors,2025,1,32.0,32.0
New York,all_sectors,2025,1,23.16,24.0
Washington,all_sectors,2025,1,15.66,15.66
Florida,all_sectors,2025,1,10.6,12.0
Minnesota,all_sectors,2025,2,8.81,5.0
Kentucky,all_sectors,2025,1,1.29,1.29
Michigan,all_sectors,2025,1,1.06,1.0
Wisconsin,all_sectors,2025,1,0.6,0.5
