state_or_region,sector,year,total_generation,units,source_key
Alabama,industrial,2001,5858.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2002,5365.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2003,5266.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2004,5227.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2005,4650.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2006,4744.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2007,4646.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2008,4562.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2009,4566.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2010,4218.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2011,4306.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2012,4247.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2013,4148.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2014,3838.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2015,4217.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2016,4255.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2017,4437.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2018,4622.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2019,4903.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2020,4788.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2021,4956.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2022,4511.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2023,4725.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2024,5025.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alabama,industrial,2025,5025.0,thousand megawatthours,ELEC.GEN.ALL-AL-97.A
Alaska,commercial,2001,153.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
Alaska,commercial,2002,156.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
Alaska,commercial,2003,230.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
Alaska,commercial,2004,269.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
Alaska,commercial,2005,245.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
Alaska,commercial,2006,231.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
Alaska,commercial,2007,238.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
Alaska,commercial,2008,225.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
Alaska,commercial,2009,217.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
Alaska,commercial,2010,234.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
Alaska,commercial,2011,275.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
Alaska,commercial,2012,278.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
Alaska,commercial,2013,300.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
Alaska,commercial,2014,172.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
Alaska,commercial,2015,165.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
Alaska,commercial,2016,322.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
Alaska,commercial,2017,335.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
Alaska,commercial,2018,328.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
Alaska,commercial,2019,265.0,thousand megawatthours,ELEC.GEN.ALL-AK-96.A
